age;masc;fem
0;1000000;1000000
1;999629;999645
2;999387;999420
3;999174;999225
4;998975;999045
5;998784;998874
6;998597;998708
7;998411;998547
8;998224;998386
9;998035;998224
10;997839;998057
11;997631;997878
12;997399;997680
13;997129;997457
14;996807;997202
15;996414;996913
16;995940;996590
17;995374;996237
18;994716;995858
19;993968;995459
20;993140;995047
21;992244;994626
22;991295;994201
23;990306;993774
24;989291;993346
25;988262;992918
26;987227;992488
27;986192;992054
28;985161;991613
29;984133;991161
30;983108;990696
31;982081;990212
32;981047;989706
33;979998;989172
34;978927;988607
35;977824;988005
36;976680;987360
37;975485;986668
38;974227;985922
39;972895;985116
40;971477;984244
41;969960;983299
42;968331;982273
43;966577;981157
44;964682;979944
45;962631;978622
46;960406;977183
47;957991;975614
48;955366;973903
49;952510;972037
50;949402;970000
51;946018;967778
52;942332;965353
53;938318;962706
54;933946;959818
55;929185;956665
56;924002;953224
57;918360;949469
58;912222;945373
59;905546;940904
60;898289;936032
61;890406;930720
62;881849;924932
63;872567;918627
64;862507;911763
65;851616;904295
66;839837;896175
67;827112;887352
68;813386;877773
69;798599;867381
70;782696;856119
71;765623;843927
72;747329;830744
73;727770;816509
74;706910;801160
75;684719;784637
76;661179;766882
77;636289;747839
78;610060;727461
79;582527;705706
80;553743;682542
81;523789;657949
82;492774;631924
83;460838;604480
84;428153;575655
85;394926;545509
86;361397;514135
87;327838;481651
88;294548;448217
89;261850;414028
90;230081;379317
91;199579;344358
92;170679;309463
93;143691;274973
94;118893;241260
95;96508;208711
96;76695;177717
97;59534;148660
98;45026;121888
99;33083;97702
100;23537;76333
101;16156;57923
102;10654;42512
103;6719;30029
104;3989;20295
105;2200;13030
106;1110;7876
107;504;4435
108;201;2293
109;68;1070
110;19;440
111;4;153
112;1;40
113;0;7
114;0;1
115;0;0
